id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leon;Kiehn;Dandre.Runte53@yahoo.com;overconfidently doing nippy;2024-12-17T15:41:38;25374;7360
2;Novella;Cummerata;Hermina93@yahoo.com;doubter;2024-12-17T10:27:56;11730;25333
3;Gerry;Hirthe;Nakia.Lakin@hotmail.com;for quick;2024-12-18T00:52:19;4333;7951
4;Mallory;Legros;Aaliyah_Wiegand@gmail.com;nervously after;2024-12-17T07:54:12;23787;32300
5;Vicente;Shields;Ian_Renner14@gmail.com;bah;2024-12-17T20:15:15;18549;6358
6;Ernestine;Kutch;Sally_Feeney53@gmail.com;big damaged;2024-12-17T14:32:51;19563;8931
7;Presley;Runolfsson;Dylan5@hotmail.com;down hype freely;2024-12-17T14:06:06;27518;3984
8;Eugenia;Maggio;Kelton_Runte-Mertz87@hotmail.com;yahoo by excluding;2024-12-17T08:29:21;31961;22311
9;Jorge;Russel;Leatha.Armstrong47@hotmail.com;patiently;2024-12-17T23:15:13;21891;10753
10;Major;Pagac;Sven_Mosciski@yahoo.com;adventurously overconfidently;2024-12-17T08:31:45;14273;11768
